disease,celltype,candidate_genes,y
gastric carcinoma,gastric epithelial cell,"['OR4C13', 'CLDN5', 'COL23A1', 'STIL', 'MEIS1']",STIL
gastric carcinoma,gastric epithelial cell,"['ARID3A', 'PPP1R12B', 'AREG', 'GSDMC', 'CTNND1']",CTNND1
gastric carcinoma,gastric epithelial cell,"['AKT1', 'GKN2', 'TNFAIP1', 'PTGIS', 'SIRT4']",AKT1
gastric carcinoma,gastric epithelial cell,"['ROR1', 'SNHG15', 'LRIG3', 'SOX5', 'BCL2A1']",LRIG3
gastric carcinoma,gastric epithelial cell,"['SRSF3', 'YWHAG', 'NAE1', 'HAVCR1', 'MICB']",SRSF3
gastric carcinoma,gastric epithelial cell,"['LIPG', 'MAL', 'RAB27A', 'CCT5', 'EML4']",EML4
gastric carcinoma,gastric epithelial cell,"['UBE2I', 'PTPN13', 'SLC39A9', 'CTSV', 'IGHV3-69-1']",PTPN13
gastric carcinoma,gastric epithelial cell,"['CD1C', 'USO1', 'PLXNC1', 'ZBTB16', 'KRTAP23-1']",ZBTB16
gastric carcinoma,gastric epithelial cell,"['NCAPG2', 'ARHGEF12', 'CARF', 'SYP', 'RGS2']",ARHGEF12
gastric carcinoma,gastric epithelial cell,"['RAD51D', 'GAL3ST2', 'RPS6KA3', 'MGMT', 'ABALON']",RAD51D
gastric carcinoma,gastric epithelial cell,"['GNMT', 'MYEOV', 'ZNF418', 'BCORL1', 'MPO']",BCORL1
gastric carcinoma,gastric epithelial cell,"['CRBN', 'ELL2', 'GNAS', 'RARS1', 'ADGRG5']",GNAS
gastric carcinoma,gastric epithelial cell,"['CYBC1', 'PCSK6', 'TOP1', 'ARL13B', 'CST2']",TOP1
gastric carcinoma,gastric epithelial cell,"['H3P16', 'ANK1', 'MAFF', 'RNASE13', 'PSMC1']",ANK1
gastric carcinoma,gastric epithelial cell,"['GPX2', 'DAXX', 'TRPM2', 'GCFC2', 'NAT10']",DAXX
gastric carcinoma,gastric epithelial cell,"['GREM2', 'LINC00880', 'CACNA2D3', 'OR5K1', 'RNF43']",RNF43
gastric carcinoma,gastric epithelial cell,"['BTK', 'SLC19A1', 'DTL', 'FKBPL', 'B3GAT1']",BTK
gastric carcinoma,gastric epithelial cell,"['LOXL4', 'ASPSCR1', 'ZBTB20', 'RCN3', 'DDAH2']",ASPSCR1
gastric carcinoma,gastric epithelial cell,"['LEF1', 'ADAMTS12', 'TIMELESS', 'NEK7', 'SLCO2B1']",LEF1
gastric carcinoma,gastric epithelial cell,"['LINC01232', 'ARAF', 'LAMTOR1', 'MEF2C', 'RYR1']",ARAF
gastric carcinoma,gastric epithelial cell,"['CAMK2B', 'SELL', 'SUGP1', 'KRTAP25-1', 'DDR2']",DDR2
gastric carcinoma,gastric epithelial cell,"['RFFL', 'SAP30L', 'SNRPA', 'MTOR', 'ZNF271P']",MTOR
gastric carcinoma,gastric epithelial cell,"['ENO2', 'DNM2', 'VPS13A', 'P2RX5-TAX1BP3', 'CRTAM']",DNM2
gastric carcinoma,gastric epithelial cell,"['ICOSLG', 'BAX', 'ZNF337', 'WNT16', 'SOX11']",BAX
gastric carcinoma,gastric epithelial cell,"['RGS2', 'WDR91', 'EP300', 'RPN2', 'LINC01048']",EP300
gastric carcinoma,gastric epithelial cell,"['SLC5A9', 'CASC2', 'ERBB4', 'ACAT1', 'SFRP1']",ERBB4
gastric carcinoma,gastric epithelial cell,"['MADCAM1', 'TMEM127', 'LOX', 'P2RY2', 'SERPINB2']",TMEM127
gastric carcinoma,gastric epithelial cell,"['HSP90B2P', 'TUG1', 'RAD50', 'LAMA3', 'NOD1']",RAD50
