disease,celltype,candidate_genes,y
chronic lymphocytic leukemia,b lymphocyte,"['ERC1', 'XXYLT1', 'PTK2B', 'ST13P4', 'ATM']",ATM
chronic lymphocytic leukemia,b lymphocyte,"['DDX17', 'ELL', 'PDCD4', 'MAP1LC3B', 'PLXNB1']",ELL
chronic lymphocytic leukemia,b lymphocyte,"['LYPLA1', 'EPB42', 'TSPAN7', 'STK11', 'VAMP2']",STK11
chronic lymphocytic leukemia,b lymphocyte,"['ZNF277', 'DERL1', 'HFM1', 'SOX21', 'SPOP']",SPOP
chronic lymphocytic leukemia,b lymphocyte,"['DACT3', 'IFNA17', 'PMS2', 'CFH', 'APOBEC3G']",PMS2
chronic lymphocytic leukemia,b lymphocyte,"['PCDH9', 'PTGER4', 'SERPINB9', 'EP300', 'TLR3']",EP300
chronic lymphocytic leukemia,b lymphocyte,"['PTPRJ', 'IGLL5', 'PFKFB1', 'CCL13', 'LBX1']",IGLL5
chronic lymphocytic leukemia,b lymphocyte,"['ARL11', 'FOXD3', 'AEBP1', 'RMI2', 'H4C8']",ARL11
chronic lymphocytic leukemia,b lymphocyte,"['SLU7', 'IGHV3-38', 'RIPK3', 'IPCEF1', 'HLA-DRB1']",IPCEF1
chronic lymphocytic leukemia,b lymphocyte,"['MALAT1', 'PPA2', 'SLC10A5', 'APELA', 'SETD2']",SETD2
chronic lymphocytic leukemia,b lymphocyte,"['H4C12', 'KMT2A', 'UBAP2', 'CX3CR1', 'PRKAG2']",KMT2A
chronic lymphocytic leukemia,b lymphocyte,"['CDC20', 'TMED2', 'HOXD13', 'UGT1A4', 'MT-ND5']",HOXD13
chronic lymphocytic leukemia,b lymphocyte,"['MPG', 'HNF1B', 'HACE1', 'DPYD', 'SRC']",SRC
chronic lymphocytic leukemia,b lymphocyte,"['TP53BP2', 'RENBP', 'FOXD3', 'IRF8', 'PSMC1']",IRF8
chronic lymphocytic leukemia,b lymphocyte,"['CLEC12A', 'MSH6', 'TRBC1', 'B4GALT4', 'H4C9']",MSH6
chronic lymphocytic leukemia,b lymphocyte,"['GNAQ', 'NKX2-2', 'RPL35', 'DLL3', 'ING1']",GNAQ
chronic lymphocytic leukemia,b lymphocyte,"['ATF3', 'MALT1', 'PADI1', 'CBS', 'GDF7']",MALT1
chronic lymphocytic leukemia,b lymphocyte,"['IGLL5', 'FGR', 'PPP6C', 'HFM1', 'MIMT1']",IGLL5
chronic lymphocytic leukemia,b lymphocyte,"['DCC', 'CLLU1', 'CLEC17A', 'SERPINI2', 'ATR']",ATR
chronic lymphocytic leukemia,b lymphocyte,"['IGLV3-25', 'PGR-AS1', 'CNRIP1', 'HES1', 'NF2']",NF2
chronic lymphocytic leukemia,b lymphocyte,"['ARGLU1', 'RBM10', 'S100A8', 'CANX', 'CDCA5']",RBM10
chronic lymphocytic leukemia,b lymphocyte,"['CYCSP38', 'KDM6A', 'RABEP1', 'CD177', 'TMEFF1']",KDM6A
chronic lymphocytic leukemia,b lymphocyte,"['IL4R', 'TNFSF13B', 'MTCP1', 'SCN3B', 'PSTPIP2']",MTCP1
chronic lymphocytic leukemia,b lymphocyte,"['ROS1', 'LRIF1', 'ACSL6', 'RHO', 'IGHV3-62']",ROS1
chronic lymphocytic leukemia,b lymphocyte,"['NFKBIZ', 'EP400', 'BLM', 'NPEPPS', 'CDC25C']",BLM
chronic lymphocytic leukemia,b lymphocyte,"['BLK', 'PRH2', 'ACTA1', 'PTPN12', 'GNAQ']",GNAQ
chronic lymphocytic leukemia,b lymphocyte,"['TPGS2', 'IGLV3-22', 'IGHV3-33', 'FLI1', 'RPS14']",FLI1
chronic lymphocytic leukemia,b lymphocyte,"['SPDL1', 'NOTCH1', 'DVL1', 'TG', 'TRIM8']",NOTCH1
chronic lymphocytic leukemia,b lymphocyte,"['SMARCB1', 'MACROD1', 'PBX3', 'TYMS', 'GPRC5A']",SMARCB1
chronic lymphocytic leukemia,b lymphocyte,"['ITGB5', 'RICTOR', 'PLSCR1', 'KIAA1755', 'P2RX7']",RICTOR
