disease,celltype,candidate_genes,y
multiple myeloma,plasma cell,"['SMARCA5', 'CXCL6', 'COXFA4L2', 'BAG2', 'FOXO3']",FOXO3
multiple myeloma,plasma cell,"['KLF2', 'SEMA4D', 'IL31RA', 'PTGIR', 'AHSA2P']",KLF2
multiple myeloma,plasma cell,"['IMPDH1', 'RAB9A', 'GOLPH3', 'ACHE', 'NBL1']",IMPDH1
multiple myeloma,plasma cell,"['WEE1', 'MGAT3', 'KLF10', 'KRT88P', 'TCF3']",TCF3
multiple myeloma,plasma cell,"['RUNX2', 'CD48', 'HJURP', 'LAMP5', 'CXCR4']",CXCR4
multiple myeloma,plasma cell,"['KCNA2', 'BLOC1S3', 'HRAS', 'RAB9A', 'TOX']",HRAS
multiple myeloma,plasma cell,"['FANCF', 'NUP42', 'SNRNP35', 'LAX1', 'TP53BP1']",FANCF
multiple myeloma,plasma cell,"['OLFML2B', 'BIRC5', 'NPHS1', 'BTRC', 'RFWD3']",RFWD3
multiple myeloma,plasma cell,"['SFTPB', 'CALCA', 'NRG3', 'PPL', 'HAVCR2']",NRG3
multiple myeloma,plasma cell,"['TMEM50A', 'MPC1', 'SS18L1', 'PIGK', 'RRAS2']",RRAS2
multiple myeloma,plasma cell,"['POLR2H', 'SMPD4', 'CCL4', 'ADAM12', 'FANCF']",FANCF
multiple myeloma,plasma cell,"['SPDL1', 'TRA2B', 'RAD50', 'NAPRT', 'HELT']",RAD50
multiple myeloma,plasma cell,"['CYCS', 'HDC', 'PNLIP', 'GPD2', 'BUB1B']",BUB1B
multiple myeloma,plasma cell,"['IGKJ5', 'MYDGF', 'MVP', 'EBF1', 'MT-ND3']",EBF1
multiple myeloma,plasma cell,"['KLK4', 'IL15', 'GDA', 'SOHLH2', 'MIR203A']",SOHLH2
multiple myeloma,plasma cell,"['STAG2', 'GRIA1', 'GLO1', 'GPR15', 'GALNT7']",STAG2
multiple myeloma,plasma cell,"['CPOX', 'LRRC75A', 'MALT1', 'RBPMS', 'HK1']",MALT1
multiple myeloma,plasma cell,"['SPACA3', 'TSPAN13', 'NUP98', 'PAPSS2', 'TUBG1']",NUP98
multiple myeloma,plasma cell,"['PTPRA', 'KLF2', 'IQGAP1', 'KAT2B', 'DDX21']",KLF2
multiple myeloma,plasma cell,"['UBA3', 'SLC25A6', 'DNM1L', 'RBM39', 'ERG']",ERG
multiple myeloma,plasma cell,"['SLC39A8', 'ACTR3B', 'POU5F1B', 'ISG15', 'ULK2']",POU5F1B
multiple myeloma,plasma cell,"['EPHA7', 'GATA6', 'LATS2', 'TUBA4A', 'MMP3']",LATS2
multiple myeloma,plasma cell,"['MGMT', 'KDM1A', 'RNF40', 'GNAS', 'LINC01473']",GNAS
multiple myeloma,plasma cell,"['UMOD', 'LCN1', 'DAP3', 'YES1', 'NCOR1']",NCOR1
multiple myeloma,plasma cell,"['SNORD12C', 'ANKRD26', 'FGFR2', 'TIMP2', 'APOE']",FGFR2
multiple myeloma,plasma cell,"['MTREX', 'TUBB1', 'ENSG00000279284', 'SULT2A1', 'GPT']",TUBB1
multiple myeloma,plasma cell,"['PFKFB4', 'QKI', 'KIR2DL1', 'IGKV1OR2-108', 'KLRB1']",QKI
multiple myeloma,plasma cell,"['PADI2', 'CCRL2', 'GPC5', 'MAPK1', 'TRGC1']",MAPK1
multiple myeloma,plasma cell,"['CAMLG', 'RBCK1', 'RGS7', 'TCN1', 'STIL']",STIL
multiple myeloma,plasma cell,"['PRAP1', 'HDAC2', 'DYRK1A', 'ACKR4', 'KIFAP3']",HDAC2
multiple myeloma,plasma cell,"['MIR16-1', 'TUBA3C', 'ARHGAP4', 'FUS', 'KL']",FUS
multiple myeloma,plasma cell,"['RPS6', 'ARHGDIA', 'DNASE1L3', 'RRM2B', 'ARHGAP26']",ARHGAP26
multiple myeloma,plasma cell,"['NUTM1', 'PYCR2', 'CALD1', 'UBE2G2', 'NAGLU']",NUTM1
