disease,celltype,candidate_genes,y
lung carcinoma,lung epithelial cell,"['NUP98', 'FLOT2', 'THAP1', 'TWNK', 'SERPINB12']",NUP98
lung carcinoma,lung epithelial cell,"['CCND3', 'UCN2', 'FADS3', 'NOS2', 'DIS3']",CCND3
lung carcinoma,lung epithelial cell,"['CAPZA2', 'MICALL2', 'OGN', 'SLC45A3', 'TRAC']",SLC45A3
lung carcinoma,lung epithelial cell,"['ARL1', 'OVAAL', 'HPCAL1', 'SLC4A4', 'PIK3R5']",PIK3R5
lung carcinoma,lung epithelial cell,"['DDB2', 'ACACA', 'LINC01705', 'CDC25A', 'SPINK1']",DDB2
lung carcinoma,lung epithelial cell,"['BAX', 'AZI2', 'ARAP3', 'GPC6', 'CASP8AP2']",BAX
lung carcinoma,lung epithelial cell,"['TIGIT', 'PRICKLE2', 'ELK1', 'MHENCR', 'SULT1C2']",TIGIT
lung carcinoma,lung epithelial cell,"['FTX', 'GLB1L2', 'HTN1', 'IGKV2D-30', 'CBLB']",CBLB
lung carcinoma,lung epithelial cell,"['NOD2', 'CSF3R', 'RLN1', 'COA3', 'CCDC106']",CSF3R
lung carcinoma,lung epithelial cell,"['DEFA3', 'TMED3', 'PDE10A', 'EPHA4', 'TBC1D24']",EPHA4
lung carcinoma,lung epithelial cell,"['PI4K2B', 'JAK3', 'SLC25A15', 'PMEL', 'MT1JP']",JAK3
lung carcinoma,lung epithelial cell,"['BUB1B', 'FFAR2', 'CDH24', 'HDGF', 'ICAM4']",BUB1B
lung carcinoma,lung epithelial cell,"['GMFG', 'JMJD6', 'PRIMPOL', 'PIK3R2', 'HJURP']",PIK3R2
lung carcinoma,lung epithelial cell,"['FGFBP1', 'GCN1', 'CTLA4', 'EPO', 'REG1CP']",CTLA4
lung carcinoma,lung epithelial cell,"['POU6F2-AS2', 'OR2I1', 'FOXL2', 'CTAG1A', 'SAT1']",FOXL2
lung carcinoma,lung epithelial cell,"['NME4', 'IFNG', 'CD300E', 'PSMD2', 'SERPINI2']",IFNG
lung carcinoma,lung epithelial cell,"['GPIHBP1', 'ZEB1', 'ZCCHC14', 'CELF6', 'ZNF252P']",ZEB1
lung carcinoma,lung epithelial cell,"['CERS6', 'ADAMTSL2', 'SNORD13P1', 'FCRLB', 'NF1']",NF1
lung carcinoma,lung epithelial cell,"['SMO', 'NCS1', 'SHOC2', 'BRINP1', 'FOSL2']",SMO
lung carcinoma,lung epithelial cell,"['ADCK1', 'CFLAR', 'TMPO', 'PAX1', 'PHLDB3']",CFLAR
lung carcinoma,lung epithelial cell,"['BAMBI', 'PTCH1', 'MOSPD1', 'CYBA', 'NPTX1']",PTCH1
lung carcinoma,lung epithelial cell,"['FAM110D', 'DCAF12L2', 'MSTN', 'SGPP1', 'IL16']",DCAF12L2
lung carcinoma,lung epithelial cell,"['SMURF1', 'CYTL1', 'PSPH', 'FBLP1', 'ACVR1B']",ACVR1B
lung carcinoma,lung epithelial cell,"['LRRC15', 'PTPN7', 'PLUT', 'IGF1R', 'UNC13D']",IGF1R
lung carcinoma,lung epithelial cell,"['PINK1', 'RHPN2', 'HULC', 'HADHA', 'PLEKHF1']",RHPN2
lung carcinoma,lung epithelial cell,"['PERP', 'POLA2', 'ITLN1', 'ABCB6', 'ELAVL3']",POLA2
lung carcinoma,lung epithelial cell,"['MT1JP', 'KLHL12', 'MUC4', 'TMEM17', 'CROCCP2']",MUC4
lung carcinoma,lung epithelial cell,"['NPRL3', 'TMEM213', 'BRCA2', 'PTGDS', 'PDZD2']",BRCA2
lung carcinoma,lung epithelial cell,"['SCEL', 'FBLN2', 'RABEPK', 'HEATR6', 'RASGRF2']",FBLN2
lung carcinoma,lung epithelial cell,"['SIN3A', 'OCIAD2', 'FCGR2B', 'OCEL1', 'IFT74']",FCGR2B
