disease,celltype,candidate_genes,y
bladder carcinoma,bladder urothelial cell,"['DUBR', 'PHACTR3', 'CHD3', 'NT5E', 'STRN']",STRN
bladder carcinoma,bladder urothelial cell,"['CGB3', 'ACVR2B', 'SDC2', 'BFAR', 'LARP4B']",LARP4B
bladder carcinoma,bladder urothelial cell,"['CSPP1', 'CRNKL1', 'PI16', 'FBN1', 'APCDD1L']",CRNKL1
bladder carcinoma,bladder urothelial cell,"['CEP43', 'CCL19', 'PHB1', 'DBT', 'CD81']",CEP43
bladder carcinoma,bladder urothelial cell,"['TECRL', 'SLC25A3', 'RIT1', 'FOXL2', 'TPX2']",FOXL2
bladder carcinoma,bladder urothelial cell,"['KCNK1', 'RPL10', 'ENSG00000223804', 'HS6ST2', 'LRP6']",RPL10
bladder carcinoma,bladder urothelial cell,"['KLF10', 'TRIM71', 'ATP5MK', 'SSX1', 'NUDCD1']",SSX1
bladder carcinoma,bladder urothelial cell,"['PTBP1', 'CCNB1', 'ZBED2', 'PRDX6', 'TAL1']",TAL1
bladder carcinoma,bladder urothelial cell,"['ADGRG6', 'ALDH2', 'BMP4', 'RNF31', 'TNFSF13']",ALDH2
bladder carcinoma,bladder urothelial cell,"['HCG27', 'SELENOT', 'RPL36A', 'DDX11', 'HGF']",HGF
bladder carcinoma,bladder urothelial cell,"['ACACA', 'LYN', 'HAVCR2', 'CENPK', 'CTH']",LYN
bladder carcinoma,bladder urothelial cell,"['H19', 'MND1', 'MTA1', 'SDF4', 'BCL6']",BCL6
bladder carcinoma,bladder urothelial cell,"['SFTPB', 'TBX2', 'ZNF146', 'DLGAP5', 'H3-3B']",H3-3B
bladder carcinoma,bladder urothelial cell,"['TRAPPC9', 'FER', 'SGK1', 'UPK3A', 'SLC7A1']",SGK1
