disease,celltype,candidate_genes,y
endometrial carcinoma,endometrial epithelial cell,"['FGF9', 'XRN1', 'XPC', 'KLK13', 'BMPR1B']",XPC
endometrial carcinoma,endometrial epithelial cell,"['SCGB2A1', 'PLN', 'NUSAP1', 'SRSF3', 'H3P7']",SRSF3
endometrial carcinoma,endometrial epithelial cell,"['SFRP2', 'CCN1', 'HMGA2', 'RPL5', 'PCNA']",HMGA2
endometrial carcinoma,endometrial epithelial cell,"['SERPINA1', 'NDUFA3', 'AK3', 'H3-3B', 'COXFA4']",H3-3B
endometrial carcinoma,endometrial epithelial cell,"['HNF1B', 'PROK1', 'INSM1', 'CACNA1G', 'LAMC2']",HNF1B
endometrial carcinoma,endometrial epithelial cell,"['IKZF1', 'PRSS56', 'YEATS2', 'TAF1', 'TMEM30A']",IKZF1
endometrial carcinoma,endometrial epithelial cell,"['MAP3K8', 'HSPB1', 'HIP1', 'PTK2B', 'E2F2']",HIP1
endometrial carcinoma,endometrial epithelial cell,"['LIPT1', 'GPSM2', 'ELK1', 'ARID1A', 'DEFB4B']",ARID1A
endometrial carcinoma,endometrial epithelial cell,"['INTS6', 'DGCR8', 'ALDOC', 'HGF', 'SNAP25']",HGF
endometrial carcinoma,endometrial epithelial cell,"['GJB1', 'TAF1', 'KAT6B', 'FRMD6', 'CTC1']",KAT6B
endometrial carcinoma,endometrial epithelial cell,"['NKX2-1', 'EFEMP1', 'SCGB2A2', 'AQP6', 'SNAI2']",NKX2-1
endometrial carcinoma,endometrial epithelial cell,"['CYSLTR2', 'CCR2', 'CYP21A2', 'RNF8', 'HEY2']",HEY2
endometrial carcinoma,endometrial epithelial cell,"['HSPA8', 'ACTA2', 'SFRP4', 'PALM', 'NCAPD2']",SFRP4
endometrial carcinoma,endometrial epithelial cell,"['NEAT1', 'CD69', 'CADM1', 'HAND2-AS1', 'UBR5']",UBR5
endometrial carcinoma,endometrial epithelial cell,"['FOXD1', 'DAB2', 'MGMT', 'IL20RA', 'SPOP']",SPOP
endometrial carcinoma,endometrial epithelial cell,"['IK', 'BRS3', 'PPY', 'BNIP3', 'HNF1A']",HNF1A
endometrial carcinoma,endometrial epithelial cell,"['CREB3L2', 'ENSG00000278408', 'NXPH3', 'DMBT1', 'C5AR1']",CREB3L2
endometrial carcinoma,endometrial epithelial cell,"['PTH', 'TAGLN', 'NLRC5', 'PON1', 'ARHGAP35']",ARHGAP35
endometrial carcinoma,endometrial epithelial cell,"['VDAC1', 'PIK3C3', 'TET2', 'TCEA1', 'WDR49']",TET2
endometrial carcinoma,endometrial epithelial cell,"['CANT1', 'FAM47C', 'WAS', 'PCDHGA8', 'HLA-G']",WAS
endometrial carcinoma,endometrial epithelial cell,"['POLR2A', 'SDHC', 'RALGPS2', 'KLF4', 'NSUN7']",SDHC
endometrial carcinoma,endometrial epithelial cell,"['SMARCE1', 'FER1L4', 'CRIPTO', 'MEFV', 'KDM4A']",SMARCE1
endometrial carcinoma,endometrial epithelial cell,"['SFRP2', 'ENSG00000280304', 'PLG', 'SPRY1', 'KDM5C']",KDM5C
endometrial carcinoma,endometrial epithelial cell,"['NXPH3', 'H1-5', 'CYP19A1', 'MUC5AC', 'MTF1']",CYP19A1
endometrial carcinoma,endometrial epithelial cell,"['CPED1', 'XPO1', 'HLA-B', 'C19orf33', 'BCAM']",XPO1
endometrial carcinoma,endometrial epithelial cell,"['HASPIN', 'EFNA5', 'THEMIS2', 'MUC2', 'FANCF']",FANCF
endometrial carcinoma,endometrial epithelial cell,"['PDGFRA', 'IGFBP1', 'PKM', 'TRIM6', 'MIA2']",PDGFRA
endometrial carcinoma,endometrial epithelial cell,"['CYP4Z1', 'JAK1', 'TLCD1', 'NSDHL', 'TMEFF2']",JAK1
endometrial carcinoma,endometrial epithelial cell,"['CCDC25', 'TEKT4', 'MST1', 'SOCS3', 'CDK12']",CDK12
endometrial carcinoma,endometrial epithelial cell,"['SLFN5', 'RAP1GDS1', 'CCL20', 'SCYL1', 'PLN']",RAP1GDS1
