disease,celltype,candidate_genes,y
ovarian carcinoma,ovarian surface epithelial cell,"['CDK13', 'NKX3-1', 'CTBP2', 'PLEKHB2', 'AKT1']",AKT1
ovarian carcinoma,ovarian surface epithelial cell,"['EED', 'XRCC3', 'LGR6', 'DSP', 'CIP2A']",EED
ovarian carcinoma,ovarian surface epithelial cell,"['PPIB', 'HMGB2', 'G6PD', 'ACOT13', 'BUB1B']",BUB1B
ovarian carcinoma,ovarian surface epithelial cell,"['CD99L2', 'OLFM4', 'RIPK1', 'PTX3', 'TUBA3C']",TUBA3C
ovarian carcinoma,ovarian surface epithelial cell,"['ACADVL', 'REL', 'ARID3A', 'EPO', 'VASH1']",REL
ovarian carcinoma,ovarian surface epithelial cell,"['ELF1', 'F2RL3', 'CYRIB', 'PRDM16', 'RACGAP1']",PRDM16
ovarian carcinoma,ovarian surface epithelial cell,"['EFNB3', 'ERBB2', 'H4C11', 'PTCHD1', 'SRPK2']",ERBB2
ovarian carcinoma,ovarian surface epithelial cell,"['LPP', 'RRM2', 'RNF168', 'ACSL3', 'TMEM87B']",LPP
ovarian carcinoma,ovarian surface epithelial cell,"['RPN2', 'DKK2', 'CTTN', 'RICTOR', 'CDKN2B']",RICTOR
ovarian carcinoma,ovarian surface epithelial cell,"['SIGMAR1', 'QTGAL', 'MDM2', 'APH1A', 'ZBTB11']",MDM2
ovarian carcinoma,ovarian surface epithelial cell,"['LHX9', 'KRT19', 'H1-5', 'EPAS1', 'DNMT1']",EPAS1
ovarian carcinoma,ovarian surface epithelial cell,"['NOL7', 'ZNF429', 'MCU', 'MT-ND2', 'ABCB10']",ZNF429
ovarian carcinoma,ovarian surface epithelial cell,"['EGF', 'RAP1GDS1', 'GDAP1', 'NALCN', 'NID1']",RAP1GDS1
ovarian carcinoma,ovarian surface epithelial cell,"['CSAG2', 'MED10', 'NKAPL', 'MAGED4', 'MSH2']",MSH2
ovarian carcinoma,ovarian surface epithelial cell,"['GNAQ', 'FAM83H', 'FOLR3', 'CTNNBL1', 'SMPDL3B']",GNAQ
ovarian carcinoma,ovarian surface epithelial cell,"['JAG2', 'CYB5R4', 'MRPS15', 'FNBP1', 'DAXX']",DAXX
ovarian carcinoma,ovarian surface epithelial cell,"['BRD3', 'TMEM64', 'ITIH4', 'NR1I3', 'BAIAP2L1']",BRD3
ovarian carcinoma,ovarian surface epithelial cell,"['CLDN18', 'GRB10', 'DOT1L', 'CLTCL1', 'GNPTAB']",CLTCL1
ovarian carcinoma,ovarian surface epithelial cell,"['RMI2', 'ALOX15', 'ELAVL1', 'SUMF1', 'DCTN1']",RMI2
ovarian carcinoma,ovarian surface epithelial cell,"['RPP25L', 'FOXP3', 'LPCAT1', 'PIK3IP1', 'ASPM']",ASPM
ovarian carcinoma,ovarian surface epithelial cell,"['RGPD5', 'CHKB', 'KLF11', 'IDH2', 'STEAP3']",IDH2
ovarian carcinoma,ovarian surface epithelial cell,"['PACS1', 'POLA2', 'ADH1C', 'ZNF185', 'MMP1']",POLA2
ovarian carcinoma,ovarian surface epithelial cell,"['MAPK4', 'PMS2', 'NKX2-1', 'TM6SF2', 'MRE11']",PMS2
ovarian carcinoma,ovarian surface epithelial cell,"['CS', 'NDUFB11', 'ZNF331', 'CTHRC1', 'ITGA3']",ZNF331
ovarian carcinoma,ovarian surface epithelial cell,"['MPL', 'COL5A1', 'ARHGAP27', 'GATM', 'OLFML2B']",MPL
ovarian carcinoma,ovarian surface epithelial cell,"['PSMD2', 'VGLL1', 'CREBBP', 'ILF2', 'MICALL2']",CREBBP
ovarian carcinoma,ovarian surface epithelial cell,"['NDUFAF2', 'APP', 'LIMA1', 'HAL', 'SOS1']",SOS1
ovarian carcinoma,ovarian surface epithelial cell,"['NOS3', 'FUBP1', 'FABP4', 'CPNE3', 'FAM171B']",FUBP1
