disease,celltype,candidate_genes,y
renal cell carcinoma,renal tubular cell,"['PYGO2', 'CDX2', 'BOP1', 'CLGN', 'GALNT6']",CDX2
renal cell carcinoma,renal tubular cell,"['HFE', 'KCNN1', 'CRAT', 'PTPN6', 'RPL23A']",PTPN6
renal cell carcinoma,renal tubular cell,"['ITIH4', 'PAFAH1B1', 'NEDD4L', 'PDZD2', 'MTNR1B']",NEDD4L
renal cell carcinoma,renal tubular cell,"['NOS1', 'E2F2', 'TMPRSS2', 'LMLN', 'DHCR7']",TMPRSS2
renal cell carcinoma,renal tubular cell,"['COX11', 'USP17L30', 'ADAMTS18', 'RTN4R', 'SLC34A2']",SLC34A2
renal cell carcinoma,renal tubular cell,"['TOP2A', 'ORC5', 'RPF2', 'HGFAC', 'SPDYA']",TOP2A
renal cell carcinoma,renal tubular cell,"['NCOA2', 'B3GNT4', 'FGB', 'KLF10', 'GLRA2']",NCOA2
renal cell carcinoma,renal tubular cell,"['UNG', 'SSTR4', 'GATA2', 'MASP1', 'GPR4']",GATA2
renal cell carcinoma,renal tubular cell,"['AFAP1L2', 'SPTA1', 'MAPT', 'TFE3', 'SUCLA2']",TFE3
renal cell carcinoma,renal tubular cell,"['RCC1', 'BMP1', 'MCCD1', 'WRN', 'ZNF513']",WRN
renal cell carcinoma,renal tubular cell,"['MRPS7', 'KLF10', 'CIITA', 'COL5A3', 'CSPG4']",CIITA
renal cell carcinoma,renal tubular cell,"['SIVA1', 'G6PC1', 'COL4A1', 'AIFM2', 'PANX2']",SIVA1
renal cell carcinoma,renal tubular cell,"['STK39', 'PAOX', 'KCNJ3', 'PSMC6', 'HOXD11']",HOXD11
renal cell carcinoma,renal tubular cell,"['DIRAS1', 'MTA3', 'DMRTA2', 'SETD4', 'ASCL2']",DMRTA2
renal cell carcinoma,renal tubular cell,"['MRC1', 'ZNF189', 'NEK9', 'IFI44', 'ZFHX3']",ZFHX3
renal cell carcinoma,renal tubular cell,"['PSAP', 'FGGY', 'FKBP10', 'SOX1-OT', 'MEN1']",MEN1
renal cell carcinoma,renal tubular cell,"['CTDSPL', 'GC', 'PANX1', 'GMFG', 'HMGA2']",HMGA2
renal cell carcinoma,renal tubular cell,"['IKZF3', 'DEFB103A', 'ANXA5', 'PLLP', 'BCDIN3D']",IKZF3
renal cell carcinoma,renal tubular cell,"['TRIM13', 'BARX1', 'PLCG2', 'IDH3B', 'FOXO1']",FOXO1
renal cell carcinoma,renal tubular cell,"['COX5A', 'KDM3B', 'KDM6A', 'MCM2', 'RBL1']",KDM6A
renal cell carcinoma,renal tubular cell,"['E2F3', 'ZDHHC2', 'S100A7', 'MAPDA', 'NGFR']",S100A7
renal cell carcinoma,renal tubular cell,"['ALB', 'PDE4DIP', 'CAPN12', 'LINC01094', 'GREM2']",PDE4DIP
renal cell carcinoma,renal tubular cell,"['CRNKL1', 'DNAJC7', 'SLC22A4', 'ACVR2B', 'IL33']",CRNKL1
renal cell carcinoma,renal tubular cell,"['SOD3', 'OTUD6A', 'ANXA8L1', 'MAPRE1', 'GNAQ']",GNAQ
renal cell carcinoma,renal tubular cell,"['ANXA5', 'PRKAR2A', 'ARID2', 'PCDH8', 'PTP4A2']",ARID2
renal cell carcinoma,renal tubular cell,"['NUP155', 'ADSS1', 'LCT', 'GABRQ', 'KRTAP2-1']",ADSS1
renal cell carcinoma,renal tubular cell,"['LINC00963', 'C7', 'FCGR3A', 'N4BP1', 'ZNF479']",ZNF479
renal cell carcinoma,renal tubular cell,"['CDK6', 'HEATR1', 'CELSR1', 'PRDM12', 'NDUFAF2']",CDK6
renal cell carcinoma,renal tubular cell,"['CTSV', 'RUNX1', 'IFT25', 'NPL', 'GDF9']",RUNX1
renal cell carcinoma,renal tubular cell,"['AQP6', 'SH3BP5', 'GP2', 'ANXA1', 'CHD4']",CHD4
renal cell carcinoma,renal tubular cell,"['PHB2', 'PABPC1', 'FENDRR', 'PLXNC1', 'ADAM10']",PABPC1
renal cell carcinoma,renal tubular cell,"['IGF2-AS', 'PROX1-AS1', 'BTN3A1', 'NPAP1', 'CTHRC1']",NPAP1
