disease,celltype,candidate_genes,y
prostate carcinoma,prostate epithelial cell,"['EYS', 'TRIM16', 'RHOA', 'ZNF146', 'GLRA4']",RHOA
prostate carcinoma,prostate epithelial cell,"['RMDN2', 'AXIN2', 'BRSK2', 'KIF5A', 'DAB2']",AXIN2
prostate carcinoma,prostate epithelial cell,"['CTSE', 'GTSE1', 'MARK3', 'EPN1', 'SPOP']",SPOP
prostate carcinoma,prostate epithelial cell,"['MYCN', 'HSPB3', 'MALAT1', 'SQSTM1', 'QSER1']",MYCN
prostate carcinoma,prostate epithelial cell,"['LINC01193', 'RICTOR', 'PDGFB', 'CYTIP', 'INTS2']",RICTOR
prostate carcinoma,prostate epithelial cell,"['SMAD2', 'EIF4G3', 'MYH8', 'USHBP1', 'EFEMP1']",SMAD2
prostate carcinoma,prostate epithelial cell,"['OGDHL', 'RBM10', 'CLK4', 'ARHGAP21', 'SOST']",RBM10
prostate carcinoma,prostate epithelial cell,"['NR1I2', 'ENSG00000270130', 'NFIB', 'DDX47', 'AKT2']",AKT2
prostate carcinoma,prostate epithelial cell,"['LRRC59', 'SETD1A', 'HNRNPA1', 'ZNF827', 'TNFRSF10A']",ZNF827
prostate carcinoma,prostate epithelial cell,"['KDM2A', 'ESR1', 'COMMD3', 'PPIAL4G', 'NEGR1']",ESR1
prostate carcinoma,prostate epithelial cell,"['RALB', 'RSPO2', 'GAS6', 'ACTG2', 'ERAS']",RSPO2
prostate carcinoma,prostate epithelial cell,"['CD27', 'TRIM66', 'SUGCT', 'RPS6KA3', 'SLC46A2-AS1']",SUGCT
prostate carcinoma,prostate epithelial cell,"['TGFB3', 'RUNX1T1', 'AQP1', 'CEBPA', 'DONSON']",RUNX1T1
