disease,celltype,candidate_genes,y
breast carcinoma,breast epithelial cell,"['RNF217', 'DNAI7', 'NOSTRIN', 'PARP2', 'ENSG00000279933']",PARP2
breast carcinoma,breast epithelial cell,"['YWHAE', 'CENPH', 'LINC01108', 'TNFRSF11B', 'NCAM1']",YWHAE
breast carcinoma,breast epithelial cell,"['CD44', 'STAC2', 'MGAT4A', 'MAGI2', 'SOX4']",SOX4
breast carcinoma,breast epithelial cell,"['ENPP5', 'POLR2B', 'NXF1', 'CPXM2', 'MAT2A']",CPXM2
breast carcinoma,breast epithelial cell,"['SMTNL1', 'CLIC4', 'TRIM13', 'NPHP1', 'MDM2']",MDM2
breast carcinoma,breast epithelial cell,"['HUWE1', 'ENSG00000260322', 'APOF', 'TMPRSS13', 'GRHL2']",GRHL2
breast carcinoma,breast epithelial cell,"['SNHG26', 'LIMS3', 'ENSG00000227360', 'USP39', 'DCC']",DCC
breast carcinoma,breast epithelial cell,"['GZMM', 'ZC3H6', 'REL', 'EIF4B', 'HAPLN3']",REL
breast carcinoma,breast epithelial cell,"['HDAC3', 'PADI3', 'TFF2', 'CRP', 'BUB3']",HDAC3
breast carcinoma,breast epithelial cell,"['CEBPE', 'PSD4', 'ENSG00000259269', 'H3C2', 'LINC01694']",H3C2
breast carcinoma,breast epithelial cell,"['MAP1A', 'TNXB', 'CANX', 'GDF6', 'KLF5']",KLF5
