disease,celltype,candidate_genes,y
head and neck squamous cell carcinoma,squamous epithelial cell,"['FGF7', 'SPP1', 'SENP7', 'UBE3C', 'PDZK1IP1']",SPP1
head and neck squamous cell carcinoma,squamous epithelial cell,"['CD70', 'ACTG2', 'SYNJ2', 'TCF12', 'SNX10']",TCF12
head and neck squamous cell carcinoma,squamous epithelial cell,"['TRIB2', 'IGKV4-1', 'SNAI2', 'ZDHHC19', 'SCYL1']",SNAI2
head and neck squamous cell carcinoma,squamous epithelial cell,"['GAS1', 'SIRT3', 'CHD2', 'SAMMSON', 'SCGB3A1']",CHD2
head and neck squamous cell carcinoma,squamous epithelial cell,"['NARS1', 'GFM1', 'CDH4', 'TPMT', 'CRTC1']",CRTC1
head and neck squamous cell carcinoma,squamous epithelial cell,"['MAP3K13', 'IFI30', 'PHB1', 'MACROD2', 'MAPKAP1']",MAP3K13
head and neck squamous cell carcinoma,squamous epithelial cell,"['POLQ', 'C7', 'SLC38A4', 'C1QC', 'GRINA']",POLQ
head and neck squamous cell carcinoma,squamous epithelial cell,"['MT1E', 'PHYH', 'CDKN2C', 'PRDX2', 'SLC44A4']",CDKN2C
head and neck squamous cell carcinoma,squamous epithelial cell,"['PARD6B', 'DDRGK1', 'SH3PXD2A', 'HNF1A', 'FLRT3']",HNF1A
head and neck squamous cell carcinoma,squamous epithelial cell,"['ANKRD2', 'GANAB', 'OCIAD2', 'MEN1', 'ZNF781']",MEN1
head and neck squamous cell carcinoma,squamous epithelial cell,"['DST', 'C1QC', 'ACVR1B', 'IL2RA', 'MXD4']",ACVR1B
head and neck squamous cell carcinoma,squamous epithelial cell,"['CHEK1', 'FLOT1', 'SCG5', 'MTF2', 'FTX']",CHEK1
head and neck squamous cell carcinoma,squamous epithelial cell,"['DCBLD1', 'MYO7A', 'SLCO3A1', 'COL15A1', 'MYH11']",MYH11
head and neck squamous cell carcinoma,squamous epithelial cell,"['SFRP2', 'IGFBP7', 'HSPA5', 'USO1', 'CEP126']",HSPA5
head and neck squamous cell carcinoma,squamous epithelial cell,"['CRYAB', 'NRXN1', 'ACOX2', 'MSX2', 'BTK']",BTK
head and neck squamous cell carcinoma,squamous epithelial cell,"['CMPK2', 'KANK3', 'NDUFB7', 'NPEPPS', 'TNFRSF10B']",TNFRSF10B
head and neck squamous cell carcinoma,squamous epithelial cell,"['CAPRIN2', 'LINC00173', 'U1', 'CLCN1', 'SETDB1']",SETDB1
head and neck squamous cell carcinoma,squamous epithelial cell,"['MAF', 'STK26', 'CDKN2D', 'HCAR3', 'EVC']",MAF
head and neck squamous cell carcinoma,squamous epithelial cell,"['MBTPS1', 'DNER', 'IRF5', 'PTPRC', 'TGFBR1']",PTPRC
head and neck squamous cell carcinoma,squamous epithelial cell,"['NBPF1', 'C9orf50', 'NKX2-1', 'SYT1', 'PHF2']",NKX2-1
head and neck squamous cell carcinoma,squamous epithelial cell,"['PLA2G6', 'IMPA2', 'PTK6', 'CD19', 'HMMR']",PTK6
head and neck squamous cell carcinoma,squamous epithelial cell,"['C1QBP', 'PRRX1', 'GPC2', 'LUCAT1', 'MCHR1']",PRRX1
head and neck squamous cell carcinoma,squamous epithelial cell,"['NUTM2D', 'CORT', 'MIR100HG', 'NCF2', 'FGFRL1']",NUTM2D
head and neck squamous cell carcinoma,squamous epithelial cell,"['LINC01697', 'GOLT1B', 'USP48', 'MIR211', 'TRAF7']",TRAF7
head and neck squamous cell carcinoma,squamous epithelial cell,"['CDKN2D', 'USP17L29', 'RB1', 'PTPN4', 'NFYC']",RB1
head and neck squamous cell carcinoma,squamous epithelial cell,"['FIRRM', 'H3-3B', 'RAB6A', 'CGB5', 'MUSK']",H3-3B
head and neck squamous cell carcinoma,squamous epithelial cell,"['RPS18', 'KRT26', 'MAGED4B', 'TAAR8', 'PHF6']",PHF6
head and neck squamous cell carcinoma,squamous epithelial cell,"['TSC2', 'FABP5', 'PPFIA1', 'HSP90AA2P', 'EBP']",TSC2
head and neck squamous cell carcinoma,squamous epithelial cell,"['HIF1AN', 'XPO1', 'MEI1', 'GRPEL1', 'USP36']",XPO1
head and neck squamous cell carcinoma,squamous epithelial cell,"['NABP1', 'HNMT', 'ITGA2B', 'LRRK2', 'TSC1']",TSC1
head and neck squamous cell carcinoma,squamous epithelial cell,"['PRB3', 'RGPD3', 'PIEZO1', 'KGD4', 'N4BP2L1']",RGPD3
head and neck squamous cell carcinoma,squamous epithelial cell,"['VCF1', 'CLDN17', 'CEBPD', 'RICTOR', 'LDHB']",RICTOR
