disease,celltype,candidate_genes,y
colorectal carcinoma,intestinal epithelial cell,"['FANCG', 'LINC01089', 'SNORD16', 'SNORA41', 'PSTPIP1']",FANCG
colorectal carcinoma,intestinal epithelial cell,"['U2AF1', 'MMP27', 'MARCO', 'CHST7', 'CARD9']",U2AF1
colorectal carcinoma,intestinal epithelial cell,"['IDUA', 'PPP1R11', 'ADGRL2', 'IL12A', 'BCL11B']",BCL11B
colorectal carcinoma,intestinal epithelial cell,"['ARL5B', 'FBN1', 'AKR1B1', 'STK31', 'EGFR']",EGFR
colorectal carcinoma,intestinal epithelial cell,"['ASCL2', 'LINC00426', 'WWC3', 'SERPINA5', 'CES1']",ASCL2
colorectal carcinoma,intestinal epithelial cell,"['RPLP0P2', 'C1orf174', 'ARHGAP6', 'ALOX5', 'BTG1']",BTG1
colorectal carcinoma,intestinal epithelial cell,"['DDX55', 'EPHX2', 'RABEPK', 'MCMDC2', 'MLLT11']",MLLT11
colorectal carcinoma,intestinal epithelial cell,"['PPP1R14A', 'CNOT3', 'ITPRIPL1', 'APOC3', 'LINC01871']",CNOT3
colorectal carcinoma,intestinal epithelial cell,"['HTN1', 'LAMP1', 'POLR1D', 'RHPN2', 'DSPP']",RHPN2
colorectal carcinoma,intestinal epithelial cell,"['CSPG4P12', 'CUX1', 'PDLIM5', 'KLB', 'STXBP6']",CUX1
colorectal carcinoma,intestinal epithelial cell,"['PDCD1LG2', 'SBDSP1', 'BNC2', 'SDC1', 'CLEC5A']",PDCD1LG2
colorectal carcinoma,intestinal epithelial cell,"['CRYBB2', 'FJX1', 'ST3GAL4', 'ETV6', 'PPP1R13B']",ETV6
colorectal carcinoma,intestinal epithelial cell,"['LRP4', 'LINC01606', 'JUN', 'DUOX2', 'CHRNA7']",JUN
colorectal carcinoma,intestinal epithelial cell,"['SOX17', 'POLR2J4', 'SLC36A1', 'POU5F1', 'SLC35A3']",POU5F1
colorectal carcinoma,intestinal epithelial cell,"['BANP', 'CLCA4', 'LINC01123', 'ARIH1', 'OR2AG1']",CLCA4
colorectal carcinoma,intestinal epithelial cell,"['NUFIP1', 'MGMT', 'CLCN3', 'SCUBE2', 'ME2']",MGMT
colorectal carcinoma,intestinal epithelial cell,"['EMILIN2', 'MIX23', 'CHN2', 'LINC00488', 'AKT1']",AKT1
colorectal carcinoma,intestinal epithelial cell,"['NTRK3', 'GPSM3', 'CEP250', 'THRB', 'IL24']",NTRK3
colorectal carcinoma,intestinal epithelial cell,"['POU4F3', 'BCO1', 'WASHC4', 'COP1', 'LINC00460']",LINC00460
colorectal carcinoma,intestinal epithelial cell,"['IKBKB', 'FDX2', 'CRLF1', 'RN7SK', 'ONECUT1']",IKBKB
colorectal carcinoma,intestinal epithelial cell,"['LIG1', 'LINC02381', 'PIGO', 'TNFRSF14', 'NADK']",TNFRSF14
colorectal carcinoma,intestinal epithelial cell,"['CTNNA1', 'GSTO1', 'SLC12A8', 'WEE1', 'PLOD3']",CTNNA1
colorectal carcinoma,intestinal epithelial cell,"['MKI67', 'CSPP1', 'ZNF547', 'ELF2', 'MTHFR']",MTHFR
colorectal carcinoma,intestinal epithelial cell,"['B3GALT4', 'NUDT4', 'PRCP', 'THRAP3', 'PRAME']",THRAP3
colorectal carcinoma,intestinal epithelial cell,"['PANK2', 'ZNF292', 'CD58', 'SLC25A24', 'MYB']",MYB
colorectal carcinoma,intestinal epithelial cell,"['HOXB3', 'NKX2-3', 'CWH43', 'NKX6-2', 'ABI1']",ABI1
colorectal carcinoma,intestinal epithelial cell,"['DGAT1', 'TSPOAP1', 'CYP2E1', 'GDE1', 'SOX21']",SOX21
colorectal carcinoma,intestinal epithelial cell,"['CHRM3', 'STON1', 'LRIG3', 'CUTC', 'MAP3K2']",LRIG3
colorectal carcinoma,intestinal epithelial cell,"['FKBP9', 'CRISP2', 'MAPRE1', 'TRIM31', 'SMIM45']",FKBP9
colorectal carcinoma,intestinal epithelial cell,"['LHCGR', 'RFNG', 'LNX1', 'WRN', 'MRGPRX1']",WRN
colorectal carcinoma,intestinal epithelial cell,"['DNAH17', 'TRIP4', 'APBA3', 'POLE4', 'MYO5A']",MYO5A
